"","cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","diffexpressed","gene_label"
"171","E15","1700016D06Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"172","E15","1700016F12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"173","E15","1700016G14Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"174","E15","1700016G22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"175","E15","1700016H03Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"176","E15","1700016H13Rik",-1.94650114368488,0.404093985674422,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"177","E15","1700016K05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"178","E15","1700016K19Rik",-0.987954855542882,0.347955482945436,1,"pseudobulk","edgeR","LRT","NO",NA
"179","E15","1700016L21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"180","E15","1700016P04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"181","E15","1700017B05Rik",1.07955355610813,0.438810449304759,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"182","E15","1700017D01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"183","E15","1700017G19Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"184","E15","1700017I07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"185","E15","1700017J07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"186","E15","1700017L05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"187","E15","1700017M07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"188","E15","1700017N19Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"189","E15","1700018A04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"190","E15","1700018A23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"191","E15","1700018B08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"192","E15","1700018B24Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"193","E15","1700018F24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"194","E15","1700018G05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"195","E15","1700018L02Rik",-0.289092808393664,0.848882447710581,1,"pseudobulk","edgeR","LRT","NO",NA
"196","E15","1700018P08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"197","E15","1700019A02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"198","E15","1700019C18Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"199","E15","1700019D03Rik",-2.91924808407577,0.00725580094170326,0.535515035364606,"pseudobulk","edgeR","LRT","Highlit_down",NA
"200","E15","1700019E08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"201","E15","1700019F05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"202","E15","1700019G24Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"203","E15","1700019J19Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"204","E15","1700019L13Rik",2.96213183088735,0.124171477019252,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"205","E15","1700019N19Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"206","E15","1700019P21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"207","E15","1700020A23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"208","E15","1700020D05Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"209","E15","1700020D12Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"210","E15","1700020G17Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"211","E15","1700020I14Rik",0.328747467321351,0.498415809964683,1,"pseudobulk","edgeR","LRT","NO",NA
"212","E15","1700020L13Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"213","E15","1700020L24Rik",-2.74418798239907,0.242393373091107,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"214","E15","1700020M21Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"215","E15","1700020N01Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"216","E15","1700020N15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"217","E15","1700020N18Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"218","E15","1700021A07Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"219","E15","1700021F02Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"220","E15","1700021F05Rik",-0.206529902388485,0.633364598071243,1,"pseudobulk","edgeR","LRT","NO",NA
"221","E15","1700021F07Rik",-1.94322921498178,0.404548026727575,1,"pseudobulk","edgeR","LRT","Highlit_down",NA
"222","E15","1700021F13Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"223","E15","1700021G15Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"224","E15","1700021J08Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"225","E15","1700021L23Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"226","E15","1700021N21Rik",2.9340300410885,0.126320665180114,1,"pseudobulk","edgeR","LRT","Highlit_up",NA
"227","E15","1700021P04Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
"228","E15","1700022A22Rik",0,1,1,"pseudobulk","edgeR","LRT","NO",NA
